ICD-10-CM Diagnosis Code & Name	Uniqe Patient Count
S60.111D Contusion of right thumb with damage to nail, subs encntr	4
S60.112A Contusion of left thumb with damage to nail, init encntr	36
S60.112D Contusion of left thumb with damage to nail, subs encntr	2
S60.121A Contusion of right index finger w damage to nail, init	25
S60.122A Contusion of left index finger w damage to nail, init encntr	22
S60.122D Contusion of left index finger w damage to nail, subs encntr	2
S60.131A Contusion of right middle finger w damage to nail, init	30
S60.131D Contusion of right middle finger w damage to nail, subs	3
S60.132A Contusion of left middle finger w damage to nail, init	29
S60.132D Contusion of left middle finger w damage to nail, subs	1
S60.141A Contusion of right ring finger w damage to nail, init encntr	24
S60.142A Contusion of left ring finger w damage to nail, init encntr	22
S60.142D Contusion of left ring finger w damage to nail, subs encntr	1
S60.142S Contusion of left ring finger with damage to nail, sequela	1
S60.149D Contusion of unsp ring finger w damage to nail, subs encntr	1
S60.151A Contusion of right little finger w damage to nail, init	22
S60.151D Contusion of right little finger w damage to nail, subs	3
S60.152A Contusion of left little finger w damage to nail, init	9
S60.152D Contusion of left little finger w damage to nail, subs	1
S60.211A Contusion of right wrist, initial encounter	224
S60.211D Contusion of right wrist, subsequent encounter	25
S60.212A Contusion of left wrist, initial encounter	217
S60.212D Contusion of left wrist, subsequent encounter	25
S60.212S Contusion of left wrist, sequela	3
S60.219A Contusion of unspecified wrist, initial encounter	7
S60.221A Contusion of right hand, initial encounter	728
S60.221D Contusion of right hand, subsequent encounter	59
S60.221S Contusion of right hand, sequela	1
S60.222A Contusion of left hand, initial encounter	505
S60.222D Contusion of left hand, subsequent encounter	47
S60.222S Contusion of left hand, sequela	1
S60.229A Contusion of unspecified hand, initial encounter	17
S60.311A Abrasion of right thumb, initial encounter	35
S60.311D Abrasion of right thumb, subsequent encounter	2
S60.312A Abrasion of left thumb, initial encounter	25
S60.312D Abrasion of left thumb, subsequent encounter	2
S60.319A Abrasion of unspecified thumb, initial encounter	3
S60.321A Blister (nonthermal) of right thumb, initial encounter	8
S60.322A Blister (nonthermal) of left thumb, initial encounter	8
S60.329A Blister (nonthermal) of unspecified thumb, initial encounter	1
S60.351A Superficial foreign body of right thumb, initial encounter	45
S60.351D Superficial foreign body of right thumb, subs encntr	1
S60.352A Superficial foreign body of left thumb, initial encounter	35
S60.352D Superficial foreign body of left thumb, subsequent encounter	3
S60.352S Superficial foreign body of left thumb, sequela	1
S60.359A Superficial foreign body of unspecified thumb, init encntr	2
S60.361A Insect bite (nonvenomous) of right thumb, initial encounter	3
S60.362A Insect bite (nonvenomous) of left thumb, initial encounter	5
S60.371A Other superficial bite of right thumb, initial encounter	4
S60.371D Other superficial bite of right thumb, subsequent encounter	1
S60.372A Other superficial bite of left thumb, initial encounter	3
S60.391A Other superficial injuries of right thumb, initial encounter	1
S60.392A Other superficial injuries of left thumb, initial encounter	4
S60.392D Other superficial injuries of left thumb, subs encntr	1
S60.410A Abrasion of right index finger, initial encounter	27
S60.411A Abrasion of left index finger, initial encounter	20
S60.411D Abrasion of left index finger, subsequent encounter	1
S60.412A Abrasion of right middle finger, initial encounter	40
S60.412D Abrasion of right middle finger, subsequent encounter	1
S60.413A Abrasion of left middle finger, initial encounter	14
S60.414A Abrasion of right ring finger, initial encounter	32
S60.415A Abrasion of left ring finger, initial encounter	16
S60.415D Abrasion of left ring finger, subsequent encounter	1
S60.415S Abrasion of left ring finger, sequela	1
S60.416A Abrasion of right little finger, initial encounter	25
S60.417A Abrasion of left little finger, initial encounter	12
S60.417D Abrasion of left little finger, subsequent encounter	1
S60.417S Abrasion of left little finger, sequela	1
S60.418A Abrasion of other finger, initial encounter	5
S60.419A Abrasion of unspecified finger, initial encounter	85
S60.419D Abrasion of unspecified finger, subsequent encounter	4
S60.419S Abrasion of unspecified finger, sequela	1
S60.420A Blister (nonthermal) of right index finger, init encntr	5
S60.421A Blister (nonthermal) of left index finger, initial encounter	2
S60.422A Blister (nonthermal) of right middle finger, init encntr	1
S60.423A Blister (nonthermal) of left middle finger, init encntr	3
S60.424A Blister (nonthermal) of right ring finger, initial encounter	1
S60.425A Blister (nonthermal) of left ring finger, initial encounter	1
S60.426A Blister (nonthermal) of right little finger, init encntr	1
S60.427A Blister (nonthermal) of left little finger, init encntr	1
S60.428A Blister (nonthermal) of other finger, initial encounter	3
S60.429A Blister (nonthermal) of unspecified finger, init encntr	8
S60.429D Blister (nonthermal) of unspecified finger, subs encntr	1
S60.440A External constriction of right index finger, init encntr	1
S60.441A External constriction of left index finger, init encntr	2
S60.442A External constriction of right middle finger, init encntr	5
S60.443A External constriction of left middle finger, init encntr	3
S60.444A External constriction of right ring finger, init encntr	5
S60.445A External constriction of left ring finger, initial encounter	12
S60.446A External constriction of right little finger, init encntr	2
S60.449A External constriction of unspecified finger, init encntr	9
S60.450A Superficial foreign body of right index finger, init encntr	54
S60.450D Superficial foreign body of right index finger, subs encntr	1
S60.451A Superficial foreign body of left index finger, init encntr	54
S60.451D Superficial foreign body of left index finger, subs encntr	4
S60.452A Superficial foreign body of right middle finger, init encntr	28
S60.453A Superficial foreign body of left middle finger, init encntr	30
S60.453D Superficial foreign body of left middle finger, subs encntr	2
S60.454A Superficial foreign body of right ring finger, init encntr	22
S60.455A Superficial foreign body of left ring finger, init encntr	29
S60.456A Superficial foreign body of right little finger, init encntr	11
S60.456D Superficial foreign body of right little finger, subs encntr	2
S60.457A Superficial foreign body of left little finger, init encntr	7
S60.457S Superficial foreign body of left little finger, sequela	1
S60.458A Superficial foreign body of other finger, initial encounter	11
S60.459A Superficial foreign body of unspecified finger, init encntr	128
S60.459D Superficial foreign body of unspecified finger, subs encntr	7
S60.459S Superficial foreign body of unspecified finger, sequela	1
S60.460A Insect bite (nonvenomous) of right index finger, init encntr	5
S60.461A Insect bite (nonvenomous) of left index finger, init encntr	3
S60.462A Insect bite (nonvenomous) of right middle finger, init	3
S60.463A Insect bite (nonvenomous) of left middle finger, init encntr	5
S60.464A Insect bite (nonvenomous) of right ring finger, init encntr	2
S60.465A Insect bite (nonvenomous) of left ring finger, init encntr	4
S60.466A Insect bite (nonvenomous) of right little finger, init	2
S60.467A Insect bite (nonvenomous) of left little finger, init encntr	2
S60.468A Insect bite (nonvenomous) of other finger, initial encounter	1
S60.469A Insect bite (nonvenomous) of unspecified finger, init encntr	15
S60.469D Insect bite (nonvenomous) of unspecified finger, subs encntr	2
S60.470A Other superficial bite of right index finger, init encntr	8
S60.470D Other superficial bite of right index finger, subs encntr	1
S60.471A Other superficial bite of left index finger, init encntr	9
S60.471D Other superficial bite of left index finger, subs encntr	1
S60.472A Other superficial bite of right middle finger, init encntr	3
S60.473A Other superficial bite of left middle finger, init encntr	3
S60.474D Other superficial bite of right ring finger, subs encntr	1
S60.475A Other superficial bite of left ring finger, init encntr	2
S60.476A Other superficial bite of right little finger, init encntr	3
S60.476D Other superficial bite of right little finger, subs encntr	1
S60.477A Other superficial bite of left little finger, init encntr	1
S60.479A Other superficial bite of unspecified finger, init encntr	5
S60.511A Abrasion of right hand, initial encounter	327
S60.511D Abrasion of right hand, subsequent encounter	10
S60.512A Abrasion of left hand, initial encounter	299
S60.512D Abrasion of left hand, subsequent encounter	21
S60.512S Abrasion of left hand, sequela	2
S60.519A Abrasion of unspecified hand, initial encounter	51
S60.519D Abrasion of unspecified hand, subsequent encounter	2
S60.521A Blister (nonthermal) of right hand, initial encounter	14
S60.521D Blister (nonthermal) of right hand, subsequent encounter	2
S60.522A Blister (nonthermal) of left hand, initial encounter	14
S60.522D Blister (nonthermal) of left hand, subsequent encounter	2
S60.529A Blister (nonthermal) of unspecified hand, initial encounter	2
S60.529D Blister (nonthermal) of unspecified hand, subs encntr	2
S60.551A Superficial foreign body of right hand, initial encounter	75
S60.551D Superficial foreign body of right hand, subsequent encounter	3
S60.552A Superficial foreign body of left hand, initial encounter	69
S60.552D Superficial foreign body of left hand, subsequent encounter	7
S60.559A Superficial foreign body of unspecified hand, init encntr	14
S60.559D Superficial foreign body of unspecified hand, subs encntr	2
S60.561A Insect bite (nonvenomous) of right hand, initial encounter	71
S60.561D Insect bite (nonvenomous) of right hand, subs encntr	1
S60.562A Insect bite (nonvenomous) of left hand, initial encounter	76
S60.562D Insect bite (nonvenomous) of left hand, subsequent encounter	2
S60.569A Insect bite (nonvenomous) of unspecified hand, init encntr	7
S60.569D Insect bite (nonvenomous) of unspecified hand, subs encntr	1
S60.569S Insect bite (nonvenomous) of unspecified hand, sequela	1
S60.571A Other superficial bite of hand of right hand, init encntr	32
S60.571D Other superficial bite of hand of right hand, subs encntr	3
S60.572A Other superficial bite of hand of left hand, init encntr	20
S60.572D Other superficial bite of hand of left hand, subs encntr	1
S60.579A Other superficial bite of hand of unsp hand, init encntr	2
S60.811A Abrasion of right wrist, initial encounter	82
S60.811D Abrasion of right wrist, subsequent encounter	1
S60.812A Abrasion of left wrist, initial encounter	90
S60.812D Abrasion of left wrist, subsequent encounter	3
S60.819A Abrasion of unspecified wrist, initial encounter	7
S60.821A Blister (nonthermal) of right wrist, initial encounter	1
S60.822A Blister (nonthermal) of left wrist, initial encounter	2
S60.851A Superficial foreign body of right wrist, initial encounter	6
S60.851D Superficial foreign body of right wrist, subs encntr	2
S60.852A Superficial foreign body of left wrist, initial encounter	7
S60.861A Insect bite (nonvenomous) of right wrist, initial encounter	23
S60.861D Insect bite (nonvenomous) of right wrist, subs encntr	1
S60.862A Insect bite (nonvenomous) of left wrist, initial encounter	20
S60.862D Insect bite (nonvenomous) of left wrist, subs encntr	1
S60.869A Insect bite (nonvenomous) of unspecified wrist, init encntr	2
S60.871A Other superficial bite of right wrist, initial encounter	6
S60.871S Other superficial bite of right wrist, sequela	1
S60.872A Other superficial bite of left wrist, initial encounter	4
S60.872D Other superficial bite of left wrist, subsequent encounter	1
S60.911A Unspecified superficial injury of right wrist, init encntr	8
S60.911D Unspecified superficial injury of right wrist, subs encntr	1
S60.911S Unspecified superficial injury of right wrist, sequela	1
S60.912A Unspecified superficial injury of left wrist, init encntr	14
S60.912S Unspecified superficial injury of left wrist, sequela	1
S60.919A Unsp superficial injury of unspecified wrist, init encntr	1
S60.921A Unspecified superficial injury of right hand, init encntr	9
S60.921D Unspecified superficial injury of right hand, subs encntr	2
S60.922A Unspecified superficial injury of left hand, init encntr	15
S60.922D Unspecified superficial injury of left hand, subs encntr	3
S60.922S Unspecified superficial injury of left hand, sequela	1
S60.929D Unsp superficial injury of unspecified hand, subs encntr	1
S60.931A Unspecified superficial injury of right thumb, init encntr	29
S60.931D Unspecified superficial injury of right thumb, subs encntr	1
S60.932A Unspecified superficial injury of left thumb, init encntr	19
S60.939A Unsp superficial injury of unspecified thumb, init encntr	2
S60.940A Unsp superficial injury of right index finger, init encntr	16
S60.941A Unsp superficial injury of left index finger, init encntr	14
S60.941D Unsp superficial injury of left index finger, subs encntr	1
S60.942A Unsp superficial injury of right middle finger, init encntr	14
S60.943A Unsp superficial injury of left middle finger, init encntr	13
S60.944A Unsp superficial injury of right ring finger, init encntr	9
S60.945A Unsp superficial injury of left ring finger, init encntr	10
S60.945D Unsp superficial injury of left ring finger, subs encntr	1
S60.946A Unsp superficial injury of right little finger, init encntr	15
S60.947A Unsp superficial injury of left little finger, init encntr	12
S60.947D Unsp superficial injury of left little finger, subs encntr	2
S60.948A Unspecified superficial injury of other finger, init encntr	2
S60.949A Unsp superficial injury of unspecified finger, init encntr	10
S60.949D Unsp superficial injury of unspecified finger, subs encntr	1
S61.001A Unsp open wound of right thumb w/o damage to nail, init	55
S61.001D Unsp open wound of right thumb w/o damage to nail, subs	4
S61.001S Unsp open wound of right thumb w/o damage to nail, sequela	1
S61.002A Unsp open wound of left thumb w/o damage to nail, init	49
S61.002D Unsp open wound of left thumb w/o damage to nail, subs	9
S61.002S Unsp open wound of left thumb w/o damage to nail, sequela	2
S61.009A Unsp open wound of unsp thumb w/o damage to nail, init	7
S61.009D Unsp open wound of unsp thumb w/o damage to nail, subs	1
S61.011A Laceration w/o fb of right thumb w/o damage to nail, init	472
S61.011D Laceration w/o fb of right thumb w/o damage to nail, subs	62
S61.011S Laceration w/o fb of right thumb w/o damage to nail, sequela	6
S61.012A Laceration w/o fb of left thumb w/o damage to nail, init	724
S61.012D Laceration w/o fb of left thumb w/o damage to nail, subs	94
S61.012S Laceration w/o fb of left thumb w/o damage to nail, sequela	9
S61.019A Laceration w/o foreign body of thmb w/o damage to nail, init	21
S61.019D Laceration w/o foreign body of thmb w/o damage to nail, subs	3
S61.021A Laceration w fb of right thumb w/o damage to nail, init	8
S61.022A Laceration w fb of left thumb w/o damage to nail, init	22
S61.022D Laceration w fb of left thumb w/o damage to nail, subs	4
S61.022S Laceration w fb of left thumb w/o damage to nail, sequela	1
S61.031A Pnctr w/o fb of right thumb w/o damage to nail, init	28
S61.031D Pnctr w/o fb of right thumb w/o damage to nail, subs	2
S61.032A Pnctr w/o fb of left thumb w/o damage to nail, init	36
S61.032D Pnctr w/o fb of left thumb w/o damage to nail, subs	7
S61.039A Pnctr w/o foreign body of thmb w/o damage to nail, init	2
S61.041A Pnctr w foreign body of right thumb w/o damage to nail, init	22
S61.042A Pnctr w foreign body of left thumb w/o damage to nail, init	24
S61.051A Open bite of right thumb without damage to nail, init encntr	51
S61.051D Open bite of right thumb without damage to nail, subs encntr	6
S61.052A Open bite of left thumb without damage to nail, init encntr	37
S61.052D Open bite of left thumb without damage to nail, subs encntr	3
S61.059A Open bite of unsp thumb without damage to nail, init encntr	1
S61.101A Unsp open wound of right thumb w damage to nail, init encntr	12
S61.102A Unsp open wound of left thumb w damage to nail, init encntr	21
S61.102D Unsp open wound of left thumb w damage to nail, subs encntr	1
S61.111A Laceration w/o fb of right thumb w damage to nail, init	19
S61.111D Laceration w/o fb of right thumb w damage to nail, subs	5
S61.112A Laceration w/o fb of left thumb w damage to nail, init	43
S61.112D Laceration w/o fb of left thumb w damage to nail, subs	9
S61.121A Laceration w fb of right thumb w damage to nail, init	1
S61.121D Laceration w fb of right thumb w damage to nail, subs	1
S61.122A Laceration w fb of left thumb w damage to nail, init	4
S61.122D Laceration w fb of left thumb w damage to nail, subs	1
S61.129D Laceration w foreign body of thmb w damage to nail, subs	1
S61.131A Pnctr w/o foreign body of right thumb w damage to nail, init	1
S61.132A Pnctr w/o foreign body of left thumb w damage to nail, init	1
S61.141A Pnctr w foreign body of right thumb w damage to nail, init	2
S61.142A Pnctr w foreign body of left thumb w damage to nail, init	6
S61.152A Open bite of left thumb with damage to nail, init encntr	3
S61.200A Unsp open wound of r idx fngr w/o damage to nail, init	49
S61.200D Unsp open wound of r idx fngr w/o damage to nail, subs	8
S61.201A Unsp open wound of l idx fngr w/o damage to nail, init	65
S61.201D Unsp open wound of l idx fngr w/o damage to nail, subs	5
S61.201S Unsp open wound of l idx fngr w/o damage to nail, sequela	1
S61.202A Unsp open wound of r mid finger w/o damage to nail, init	43
S61.202D Unsp open wound of r mid finger w/o damage to nail, subs	12
S61.202S Unsp open wound of r mid finger w/o damage to nail, sequela	1
S61.203A Unsp open wound of l mid finger w/o damage to nail, init	51
S61.203D Unsp open wound of l mid finger w/o damage to nail, subs	4
S61.204A Unsp open wound of r rng fngr w/o damage to nail, init	23
S61.204D Unsp open wound of r rng fngr w/o damage to nail, subs	4
S61.204S Unsp open wound of r rng fngr w/o damage to nail, sequela	1
S61.205A Unsp open wound of left ring finger w/o damage to nail, init	25
S61.205D Unsp open wound of left ring finger w/o damage to nail, subs	5
S61.205S Unsp open wound of l rng fngr w/o damage to nail, sequela	1
S61.206A Unsp open wound of r little finger w/o damage to nail, init	20
S61.206D Unsp open wound of r little finger w/o damage to nail, subs	4
S61.206S Unsp opn wnd r little finger w/o damage to nail, sequela	1
S61.207A Unsp open wound of l little finger w/o damage to nail, init	28
S61.207D Unsp open wound of l little finger w/o damage to nail, subs	4
S61.208A Unsp open wound of oth finger w/o damage to nail, init	9
S61.208D Unsp open wound of oth finger w/o damage to nail, subs	1
S61.209A Unsp open wound of unsp finger w/o damage to nail, init	227
S61.209D Unsp open wound of unsp finger w/o damage to nail, subs	115
S61.209S Unsp open wound of unsp finger w/o damage to nail, sequela	8
S61.210A Laceration w/o fb of r idx fngr w/o damage to nail, init	530
S61.210D Laceration w/o fb of r idx fngr w/o damage to nail, subs	37
S61.210S Laceration w/o fb of r idx fngr w/o damage to nail, sequela	5
S61.211A Laceration w/o fb of l idx fngr w/o damage to nail, init	820
S61.211D Laceration w/o fb of l idx fngr w/o damage to nail, subs	59
S61.211S Laceration w/o fb of l idx fngr w/o damage to nail, sequela	9
S61.212A Laceration w/o fb of r mid finger w/o damage to nail, init	345
S61.212D Laceration w/o fb of r mid finger w/o damage to nail, subs	35
S61.212S Lac w/o fb of r mid finger w/o damage to nail, sequela	5
S61.213A Laceration w/o fb of l mid finger w/o damage to nail, init	449
S61.213D Laceration w/o fb of l mid finger w/o damage to nail, subs	40
S61.214A Laceration w/o fb of r rng fngr w/o damage to nail, init	257
S61.214D Laceration w/o fb of r rng fngr w/o damage to nail, subs	21
S61.214S Laceration w/o fb of r rng fngr w/o damage to nail, sequela	1
S61.215A Laceration w/o fb of l rng fngr w/o damage to nail, init	272
S61.215D Laceration w/o fb of l rng fngr w/o damage to nail, subs	18
S61.215S Laceration w/o fb of l rng fngr w/o damage to nail, sequela	1
S61.216A Lac w/o fb of r little finger w/o damage to nail, init	261
S61.216D Lac w/o fb of r little finger w/o damage to nail, subs	20
S61.217A Lac w/o fb of l little finger w/o damage to nail, init	257
S61.217D Lac w/o fb of l little finger w/o damage to nail, subs	20
S61.217S Lac w/o fb of l little finger w/o damage to nail, sequela	2
S61.218A Laceration w/o fb of finger w/o damage to nail, init	108
S61.218D Laceration w/o fb of finger w/o damage to nail, subs	17
S61.218S Laceration w/o fb of finger w/o damage to nail, sequela	2
S61.219A Laceration w/o fb of unsp finger w/o damage to nail, init	831
S61.219D Laceration w/o fb of unsp finger w/o damage to nail, subs	223
S61.219S Laceration w/o fb of unsp finger w/o damage to nail, sequela	14
S61.220A Laceration w fb of r idx fngr w/o damage to nail, init	11
S61.221A Laceration w fb of l idx fngr w/o damage to nail, init	20
S61.221D Laceration w fb of l idx fngr w/o damage to nail, subs	1
S61.222A Laceration w fb of r mid finger w/o damage to nail, init	6
S61.222D Laceration w fb of r mid finger w/o damage to nail, subs	1
S61.222S Laceration w fb of r mid finger w/o damage to nail, sequela	1
S61.223A Laceration w fb of l mid finger w/o damage to nail, init	11
S61.223D Laceration w fb of l mid finger w/o damage to nail, subs	4
S61.224A Laceration w fb of r rng fngr w/o damage to nail, init	4
S61.225A Laceration w fb of l rng fngr w/o damage to nail, init	4
S61.225D Laceration w fb of l rng fngr w/o damage to nail, subs	2
S61.226A Laceration w fb of r little finger w/o damage to nail, init	3
S61.227A Laceration w fb of l little finger w/o damage to nail, init	7
S61.228A Laceration w foreign body of finger w/o damage to nail, init	2
S61.229A Laceration w fb of unsp finger w/o damage to nail, init	2
S61.229D Laceration w fb of unsp finger w/o damage to nail, subs	2
S61.230A Pnctr w/o fb of r idx fngr w/o damage to nail, init	30
S61.230D Pnctr w/o fb of r idx fngr w/o damage to nail, subs	3
S61.231A Pnctr w/o fb of l idx fngr w/o damage to nail, init	49
S61.231D Pnctr w/o fb of l idx fngr w/o damage to nail, subs	5
S61.231S Pnctr w/o fb of l idx fngr w/o damage to nail, sequela	1
S61.232A Pnctr w/o fb of r mid finger w/o damage to nail, init	24
S61.233A Pnctr w/o fb of l mid finger w/o damage to nail, init	14
S61.233D Pnctr w/o fb of l mid finger w/o damage to nail, subs	3
S61.233S Pnctr w/o fb of l mid finger w/o damage to nail, sequela	1
S61.234A Pnctr w/o fb of r rng fngr w/o damage to nail, init	10
S61.234D Pnctr w/o fb of r rng fngr w/o damage to nail, subs	2
S61.235A Pnctr w/o fb of l rng fngr w/o damage to nail, init	12
S61.236A Pnctr w/o fb of r little finger w/o damage to nail, init	6
S61.237A Pnctr w/o fb of l little finger w/o damage to nail, init	4
S61.237D Pnctr w/o fb of l little finger w/o damage to nail, subs	1
S61.238A Pnctr w/o foreign body of finger w/o damage to nail, init	10
S61.239A Pnctr w/o fb of unsp finger w/o damage to nail, init	67
S61.239D Pnctr w/o fb of unsp finger w/o damage to nail, subs	6
S61.239S Pnctr w/o fb of unsp finger w/o damage to nail, sequela	1
S61.240A Pnctr w foreign body of r idx fngr w/o damage to nail, init	22
S61.241A Pnctr w foreign body of l idx fngr w/o damage to nail, init	34
S61.241D Pnctr w foreign body of l idx fngr w/o damage to nail, subs	1
S61.242A Pnctr w fb of r mid finger w/o damage to nail, init	19
S61.242D Pnctr w fb of r mid finger w/o damage to nail, subs	2
S61.243A Pnctr w fb of l mid finger w/o damage to nail, init	23
S61.243D Pnctr w fb of l mid finger w/o damage to nail, subs	2
S61.244A Pnctr w foreign body of r rng fngr w/o damage to nail, init	9
S61.244D Pnctr w foreign body of r rng fngr w/o damage to nail, subs	1
S61.245A Pnctr w foreign body of l rng fngr w/o damage to nail, init	11
S61.245D Pnctr w foreign body of l rng fngr w/o damage to nail, subs	1
S61.246A Pnctr w fb of r little finger w/o damage to nail, init	10
S61.247A Pnctr w fb of l little finger w/o damage to nail, init	4
S61.248A Pnctr w foreign body of finger w/o damage to nail, init	2
S61.249A Pnctr w foreign body of unsp finger w/o damage to nail, init	2
S61.250A Open bite of right index finger w/o damage to nail, init	80
S61.250D Open bite of right index finger w/o damage to nail, subs	10
S61.250S Open bite of right index finger w/o damage to nail, sequela	2
S61.251A Open bite of left index finger w/o damage to nail, init	52
S61.251D Open bite of left index finger w/o damage to nail, subs	6
S61.251S Open bite of left index finger w/o damage to nail, sequela	3
S61.252A Open bite of right middle finger w/o damage to nail, init	28
S61.252D Open bite of right middle finger w/o damage to nail, subs	6
S61.252S Open bite of right middle finger w/o damage to nail, sequela	1
S61.253A Open bite of left middle finger w/o damage to nail, init	28
S61.253D Open bite of left middle finger w/o damage to nail, subs	2
S61.253S Open bite of left middle finger w/o damage to nail, sequela	1
S61.254A Open bite of right ring finger w/o damage to nail, init	17
S61.254D Open bite of right ring finger w/o damage to nail, subs	5
S61.255A Open bite of left ring finger w/o damage to nail, init	15
S61.255S Open bite of left ring finger w/o damage to nail, sequela	1
S61.256A Open bite of right little finger w/o damage to nail, init	13
S61.257A Open bite of left little finger w/o damage to nail, init	15
S61.258A Open bite of other finger w/o damage to nail, init encntr	15
S61.258D Open bite of other finger w/o damage to nail, subs encntr	1
S61.259A Open bite of unsp finger without damage to nail, init encntr	63
S61.259D Open bite of unsp finger without damage to nail, subs encntr	16
S61.259S Open bite of unsp finger without damage to nail, sequela	2
S61.300A Unsp open wound of right index finger w damage to nail, init	16
S61.300D Unsp open wound of right index finger w damage to nail, subs	2
S61.301A Unsp open wound of left index finger w damage to nail, init	17
S61.301D Unsp open wound of left index finger w damage to nail, subs	2
S61.302A Unsp open wound of r mid finger w damage to nail, init	17
S61.302D Unsp open wound of r mid finger w damage to nail, subs	4
S61.303A Unsp open wound of left middle finger w damage to nail, init	12
S61.304A Unsp open wound of right ring finger w damage to nail, init	19
S61.304D Unsp open wound of right ring finger w damage to nail, subs	2
S61.305A Unsp open wound of left ring finger w damage to nail, init	8
S61.305D Unsp open wound of left ring finger w damage to nail, subs	1
S61.306A Unsp open wound of r little finger w damage to nail, init	8
S61.306D Unsp open wound of r little finger w damage to nail, subs	2
S61.307A Unsp open wound of left little finger w damage to nail, init	15
S61.307D Unsp open wound of left little finger w damage to nail, subs	2
S61.308A Unsp open wound of oth finger w damage to nail, init encntr	3
S61.308D Unsp open wound of oth finger w damage to nail, subs encntr	1
S61.309A Unsp open wound of unsp finger w damage to nail, init encntr	81
S61.309D Unsp open wound of unsp finger w damage to nail, subs encntr	9
S61.310A Laceration w/o fb of r idx fngr w damage to nail, init	32
S61.310D Laceration w/o fb of r idx fngr w damage to nail, subs	3
S61.311A Laceration w/o fb of l idx fngr w damage to nail, init	45
S61.311D Laceration w/o fb of l idx fngr w damage to nail, subs	6
S61.312A Laceration w/o fb of r mid finger w damage to nail, init	29
S61.312D Laceration w/o fb of r mid finger w damage to nail, subs	5
S61.313A Laceration w/o fb of l mid finger w damage to nail, init	46
S61.313D Laceration w/o fb of l mid finger w damage to nail, subs	9
S61.314A Laceration w/o fb of r rng fngr w damage to nail, init	15
S61.314D Laceration w/o fb of r rng fngr w damage to nail, subs	2
S61.314S Laceration w/o fb of r rng fngr w damage to nail, sequela	1
S61.315A Laceration w/o fb of l rng fngr w damage to nail, init	31
S61.315D Laceration w/o fb of l rng fngr w damage to nail, subs	3
S61.316A Laceration w/o fb of r little finger w damage to nail, init	11
S61.317A Laceration w/o fb of l little finger w damage to nail, init	21
S61.317D Laceration w/o fb of l little finger w damage to nail, subs	5
S61.318A Laceration w/o foreign body of finger w damage to nail, init	14
S61.318D Laceration w/o foreign body of finger w damage to nail, subs	2
S61.319A Laceration w/o fb of unsp finger w damage to nail, init	34
S61.319D Laceration w/o fb of unsp finger w damage to nail, subs	16
S61.319S Laceration w/o fb of unsp finger w damage to nail, sequela	3
S61.320A Laceration w fb of r idx fngr w damage to nail, init	4
S61.320D Laceration w fb of r idx fngr w damage to nail, subs	1
S61.321A Laceration w fb of l idx fngr w damage to nail, init	2
S61.322A Laceration w fb of r mid finger w damage to nail, init	1
S61.322D Laceration w fb of r mid finger w damage to nail, subs	1
S61.323A Laceration w fb of l mid finger w damage to nail, init	1
S61.324A Laceration w fb of r rng fngr w damage to nail, init	1
S61.325A Laceration w fb of l rng fngr w damage to nail, init	3
S61.325D Laceration w fb of l rng fngr w damage to nail, subs	1
S61.326A Laceration w fb of r little finger w damage to nail, init	1
S61.328A Laceration w foreign body of finger w damage to nail, init	1
S61.329A Laceration w fb of unsp finger w damage to nail, init	1
S61.330A Pnctr w/o foreign body of r idx fngr w damage to nail, init	2
S61.330D Pnctr w/o foreign body of r idx fngr w damage to nail, subs	1
S61.330S Pnctr w/o fb of r idx fngr w damage to nail, sequela	1
S61.331A Pnctr w/o foreign body of l idx fngr w damage to nail, init	1
S61.332A Pnctr w/o fb of r mid finger w damage to nail, init	1
S61.333A Pnctr w/o fb of l mid finger w damage to nail, init	2
S61.335A Pnctr w/o foreign body of l rng fngr w damage to nail, init	1
S61.336A Pnctr w/o fb of r little finger w damage to nail, init	1
S61.339A Pnctr w/o foreign body of unsp finger w damage to nail, init	1
S61.340A Pnctr w foreign body of r idx fngr w damage to nail, init	1
S61.341A Pnctr w foreign body of l idx fngr w damage to nail, init	1
S61.342A Pnctr w foreign body of r mid finger w damage to nail, init	1
S61.343A Pnctr w foreign body of l mid finger w damage to nail, init	2
S61.345A Pnctr w foreign body of l rng fngr w damage to nail, init	3
S61.346A Pnctr w fb of r little finger w damage to nail, init	2
S61.348A Pnctr w foreign body of finger w damage to nail, init	1
S61.350A Open bite of right index finger w damage to nail, init	1
S61.350D Open bite of right index finger w damage to nail, subs	2
S61.351A Open bite of left index finger w damage to nail, init encntr	2
S61.351D Open bite of left index finger w damage to nail, subs encntr	1
S61.351S Open bite of left index finger with damage to nail, sequela	1
S61.354A Open bite of right ring finger w damage to nail, init encntr	1
S61.354S Open bite of right ring finger with damage to nail, sequela	1
S61.401A Unspecified open wound of right hand, initial encounter	81
S61.401D Unspecified open wound of right hand, subsequent encounter	30
S61.401S Unspecified open wound of right hand, sequela	2
S61.402A Unspecified open wound of left hand, initial encounter	100
S61.402D Unspecified open wound of left hand, subsequent encounter	36
S61.402S Unspecified open wound of left hand, sequela	5
S61.409A Unspecified open wound of unspecified hand, init encntr	12
S61.409D Unspecified open wound of unspecified hand, subs encntr	3
S61.409S Unspecified open wound of unspecified hand, sequela	3
S61.411A Laceration without foreign body of right hand, init encntr	882
